04-05-2023 20:14:00.167 [main] INFO  c.e.ClientLB.ClientLbApplication.logStarting - Starting ClientLbApplication using Java 17.0.4 with PID 62255 (/media/daniil/TOM_U/MIPT/SoftwareDesign/ClientLB/build/classes/java/main started by daniil in /media/daniil/TOM_U/MIPT/SoftwareDesign/ClientLB)
04-05-2023 20:14:00.169 [main] INFO  c.e.ClientLB.ClientLbApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
04-05-2023 20:14:00.631 [main] INFO  o.s.cloud.context.scope.GenericScope.setSerializationId - BeanFactory id=e68f3fdc-4522-303e-9398-5a2afd65149b
04-05-2023 20:14:00.746 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
04-05-2023 20:14:00.749 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
04-05-2023 20:14:00.750 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'reactorDeferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
04-05-2023 20:14:01.087 [main] INFO  o.a.c.f.imps.CuratorFrameworkImpl.start - Starting
04-05-2023 20:14:01.090 [main] INFO  org.apache.zookeeper.ZooKeeper.logEnv - Client environment:zookeeper.version=3.6.0--b4c89dc7f6083829e18fae6e446907ae0b1f22d7, built on 02/25/2020 14:38 GMT
04-05-2023 20:14:01.090 [main] INFO  org.apache.zookeeper.ZooKeeper.logEnv - Client environment:host.name=daniil
04-05-2023 20:14:01.090 [main] INFO  org.apache.zookeeper.ZooKeeper.logEnv - Client environment:java.version=17.0.4
04-05-2023 20:14:01.090 [main] INFO  org.apache.zookeeper.ZooKeeper.logEnv - Client environment:java.vendor=Amazon.com Inc.
04-05-2023 20:14:01.090 [main] INFO  org.apache.zookeeper.ZooKeeper.logEnv - Client environment:java.home=/home/daniil/.jdks/corretto-17.0.4
